name,knownFor,intro,longBio,achievement,birthYear,deathYear,birthCity,birthCountry,nationality,century,contributionYear,era,classification,gender,education,awards,institutions,notableWorks,influencedBy,influenced,funFacts,latitude,longitude,imageLocal
Banu Musa Brothers,"Muhammad ibn Musa al-Khwarizmi, or simply al-Khwarizmi was a mathematician active during the Islamic Golden","The Banū Mūsā brothers, Ahmad, Muhammad, and al-Hasan, were a group of three Persian scholars who lived during the 9th century in Baghdad, which was then part of the Abbasid Caliphate. They were renowned for their contributions to various fields, including mathematics, mechanics, and engineering. The brothers authored several influential works, such as the ""Book of Ingenious Devices,"" which covered a wide range of subjects like automata, geometry, and astronomical instruments. Their works were instrumental in preserving and advancing scientific knowledge from the Hellenistic and Persian traditions.","Muhammad ibn Musa al-Khwarizmi, or simply al-Khwarizmi was a mathematician active during the Islamic Golden Age, who produced Arabic-language works in mathematics, astronomy, and geography. Around 820, he worked at the House of Wisdom in Baghdad, the contemporary capital city of the Abbasid Caliphate. One of the most prominent scholars of the period, his works were widely influential on later authors, both in the Islamic world and Europe.","Their book ""The Book of Ingenious Devices"" showcased mechanical inventions, automata, and scientific knowledge. Their contributions to mathematics, engineering, and technology had a lasting impact on the Islamic Golden Age and advanced scientific understanding.",800,860,Baghdad,Iraq,Abbasid Caliphate,9,850,Ancient/Medieval Computing,"[""applied computing"", ""hardware""]",male,[],[],[],[],[],[],"[""His popularizing treatise on algebra, compiled between 813 and 833 as Al-Jabr (The Compendious Book on Calculation by Completion and Balancing), presented the first systematic solution of linear and quadratic equations.""]",33.3152,44.3661,https://pioneersincs.blob.core.windows.net/pioneers-images/banu_musa_brothers.webp
Charles Babbage,Charles Babbage was an English polymath,"Charles Babbage was an English mathematician, philosopher, inventor, and mechanical engineer who is best known for conceiving of the idea of a programmable computer. He designed the ""Difference Engine,"" an automatic mechanical calculator designed to tabulate polynomial functions, and the more complex ""Analytical Engine,"" which was intended to perform any kind of calculation and can be considered an early model for the modern computer.","Charles Babbage was an English polymath. A mathematician, philosopher, inventor and mechanical engineer, Babbage originated the concept of a digital programmable computer.","He is best known for his design of the Analytical Engine, a mechanical general-purpose computer that was conceived as a successor to his earlier invention, the Difference Engine. Babbage's Analytical Engine incorporated key principles of modern computing, including the use of punched cards for input and output, a memory unit, and the ability to perform arithmetic and logical operations.",1791,1871,Walworth,United Kingdom,United Kingdom of Great Britain and Ireland,19,1822,Early Electronic Computing,"[""theory of computation"", ""hardware""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""Peterhouse"", ""year"": 1814}, {""degree"": null, ""field"": null, ""institution"": ""Alphington Primary School"", ""year"": null}, {""degree"": null, ""field"": null, ""institution"": ""Forty Hill CofE Primary School"", ""year"": 1806}, {""degree"": null, ""field"": null, ""institution"": ""King Edward VI Community College"", ""year"": null}, {""degree"": null, ""field"": null, ""institution"": ""Totnes Grammar School"", ""year"": 1803}, {""degree"": null, ""field"": null, ""institution"": ""Trinity College"", ""year"": null}]","[{""name"": ""Fellow of the Royal Society of Edinburgh"", ""year"": 1820}, {""name"": ""Fellow of the American Academy of Arts and Sciences"", ""year"": 1832}, {""name"": ""Fellow of the Royal Society"", ""year"": 1816}, {""name"": ""Gold Medal of the Royal Astronomical Society"", ""year"": 1824}, {""name"": ""Knight of the Royal Order of the Welfs"", ""year"": 1832}]","[{""name"": ""University of Cambridge"", ""role"": null, ""years"": ""1827–1839""}]","[{""title"": ""Ninth Bridgewater Treatise"", ""type"": ""other"", ""year"": 1837}, {""title"": ""Reflections on the Decline of Science in England, and on Some of Its Causes"", ""type"": ""other"", ""year"": 1830}, {""title"": ""Passages from the Life of a Philosopher."", ""type"": ""other"", ""year"": 1864}, {""title"": ""Laws of mechanical notation (for consideration) / [C. Babbage]"", ""type"": ""other"", ""year"": 1851}, {""title"": ""analytical engine"", ""type"": ""other"", ""year"": null}, {""title"": ""On the Economy of Machinery and Manufactures"", ""type"": ""other"", ""year"": 1832}, {""title"": ""difference engine"", ""type"": ""other"", ""year"": null}]","[""Ada Lovelace""]","[""Howard H. Aiken"", ""Ada Lovelace""]","[""He is credited with inventing the first mechanical computer, the difference engine, that eventually led to more complex electronic designs, though all the essential ideas of modern computers are to be found in his analytical engine, programmed using a principle openly borrowed from the Jacquard loom."", ""As part of his computer work, he also designed the first computer printers.""]",51.5074,0.1278,https://pioneersincs.blob.core.windows.net/pioneers-images/charles_babbage.webp
Ramón Verea,"Ramón Silvestre Verea Aguiar y García was a Galician journalist, engineer and writer, known as","Ramón Verea was a Galician journalist, engineer, and writer, known for inventing a calculator with an internal multiplication table in 1878.","Ramón Silvestre Verea Aguiar y García was a Galician journalist, engineer and writer, known as the inventor of a Calculadora Alicia with an internal multiplication table (1878).",Invented the world’s first single-motion calculator that could solve complex multiplications as a whole. At the time all previous calculators were only able to multiply several numbers by doing so one at a time.,1833,1899,Curantes,Spain,Spain,19,1875,Early Electronic Computing,"[""theory of computation"", ""hardware""]",male,[],[],[],[],[],[],[],42.6885,8.3931,https://pioneersincs.blob.core.windows.net/pioneers-images/ramón_verea.webp
Luitzen Egbertus Jan Brouwer,"Luitzen Egbertus Jan ""Bertus"" Brouwer was a Dutch mathematician and philosopher who worked in topology,","Luitzen Egbertus Jan Brouwer, generally known as L.E.J. Brouwer, was a Dutch mathematician and philosopher who worked in the early 20th century. He is best known as the founder of the mathematical philosophy of intuitionism, which asserts that the truth of a mathematical statement is a subjective claim that requires construction or proof by the individual asserting it.","Luitzen Egbertus Jan ""Bertus"" Brouwer was a Dutch mathematician and philosopher who worked in topology, set theory, measure theory and complex analysis. Regarded as one of the greatest mathematicians of the 20th century, he is known as one of the founders of modern topology, particularly for establishing his fixed-point theorem and the topological invariance of dimension.","Known for his contributions to intuitionistic mathematics and the foundations of mathematics. Brouwer's work in constructive mathematics and the philosophy of mathematics had a significant impact on the field, challenging classical notions of mathematical truth and introducing the concept of intuitionistic logic. His foundational ideas continue to influence various branches of mathematics and computer science.",1881,1966,Overschie,Netherlands,Kingdom of the Netherlands,20,1908,Early Electronic Computing,"[""theory of computation""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""University of Amsterdam"", ""year"": null}]","[{""name"": ""honorary doctorate from the University of Cambridge"", ""year"": null}, {""name"": ""Foreign Member of the Royal Society"", ""year"": 1948}, {""name"": ""Knight of the Order of the Netherlands Lion"", ""year"": null}, {""name"": ""honorary doctorate of the University of Oslo"", ""year"": null}]","[{""name"": ""University of Amsterdam"", ""role"": null, ""years"": ""1919–1951""}]","[{""title"": ""hairy ball theorem"", ""type"": ""other"", ""year"": null}, {""title"": ""Brouwer fixed-point theorem"", ""type"": ""other"", ""year"": null}, {""title"": ""Brouwer–Heyting–Kolmogorov interpretation"", ""type"": ""other"", ""year"": null}, {""title"": ""Brouwer–Hilbert controversy"", ""type"": ""other"", ""year"": null}, {""title"": ""Kleene–Brouwer order"", ""type"": ""other"", ""year"": null}, {""title"": ""Phragmen–Brouwer theorem"", ""type"": ""other"", ""year"": null}, {""title"": ""Brouwer–Haemers graph"", ""type"": ""other"", ""year"": null}]","[""Immanuel Kant""]",[],[],51.9368,4.4274,https://pioneersincs.blob.core.windows.net/pioneers-images/luitzen_egbertus_jan_brouwer.webp
Leonardo Torres Quevedo,"Leonardo Torres Quevedo was a Spanish civil engineer, mathematician and inventor, known for his numerous","Leonardo Torres Quevedo was a Spanish civil engineer, computer scientist, and inventor. He developed the first chess-playing automaton and contributed to the field of modern automation with his inventions of new calculating machines that used electromechanical systems. His machines are considered to be the first digital calculators in history, using discrete variables to do calculations.","Leonardo Torres Quevedo was a Spanish civil engineer, mathematician and inventor, known for his numerous engineering innovations, including aerial trams, airships, catamarans, and remote control. He was also a pioneer in the field of computing and robotics. Torres was a member of several scientific and cultural institutions and held such important positions as the seat N of the Real Academia Española (1920–1936) and the presidency of the Spanish Royal Academy of Sciences (1928–1934). In 1927 he became a foreign associate of the French Academy of Sciences.","In 1912, Leonardo Torres Quevedo built El Ajedrecista (the chess player), one of the first autonomous machines capable of playing chess. As opposed to the human-operated The Turk and Ajeeb, El Ajedrecista was a true automaton built to play chess without human guidance. It played an endgame with three chess pieces, automatically moving a white king and a rook to checkmate the black king moved by a human opponent. In his work Essays on Automatics, published in 1914, Torres Quevedo formulates what will be a new branch of engineering: automation and designed an electromechanical version of Babbage's Analytical machine which included floating-point arithmetic.",1852,1936,Santa Cruz,Spain,Spain,20,1912,Early Electronic Computing,"[""theory of computation"", ""hardware""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""Q8778170"", ""year"": null}, {""degree"": null, ""field"": null, ""institution"": ""Technical University of Madrid"", ""year"": null}]","[{""name"": ""Band of the Order of the Republic"", ""year"": null}, {""name"": ""Grand cross of the Civil Order of Alfonso XII"", ""year"": 1906}, {""name"": ""doctor honoris causa from the University of Paris"", ""year"": 1923}, {""name"": ""Grand Cross of the Order of Charles III"", ""year"": 1921}, {""name"": ""Echegaray Medal"", ""year"": 1916}, {""name"": ""Commander of the Legion of Honour"", ""year"": 1922}]","[{""name"": ""Junta para Ampliación de Estudios e Investigaciones Científicas"", ""role"": null, ""years"": null}]","[{""title"": ""El Ajedrecista"", ""type"": ""other"", ""year"": null}, {""title"": ""Astra-Torres"", ""type"": ""other"", ""year"": null}, {""title"": ""Whirlpool Aero Car"", ""type"": ""other"", ""year"": null}, {""title"": ""Telekine"", ""type"": ""other"", ""year"": null}, {""title"": ""electromechanical arithmometer"", ""type"": ""other"", ""year"": null}]",[],[],"[""He was also a pioneer in the field of computing and robotics."", ""His first groundbreaking invention was a cable car system patented in 1887 for the safe transportation of people, an activity that culminated in 1916 when the Whirlpool Aero Car was opened in Niagara Falls.""]",43.1665,4.042,https://pioneersincs.blob.core.windows.net/pioneers-images/leonardo_torres_quevedo.webp
Frank Wilfred Jordan,Frank Wilfred Jordan was a British physicist who together with William Henry Eccles invented the,"Frank Wilfred Jordan (1881-1941) was a British physicist known for co-inventing the ""flip-flop"" circuit in 1918 alongside William Henry Eccles. This circuit became fundamental in electronic memory for computers. Jordan received his education at the Royal College of Science and worked as a lecturer in physics. The flip-flop circuit played a crucial role in storing binary data and became a cornerstone of computer technology.",Frank Wilfred Jordan was a British physicist who together with William Henry Eccles invented the flip-flop circuit in 1918. This circuit became the basis for electronic binary data storage in computers.,"Patented the Eccles–Jordan trigger circuit,the so-called ""bistable flip-flop"", a building block of all digital memory cells. Built from vacuum tubes, their concept was essential for the success of the Colossus codebreaking computer.",1881,1941,Canterbury,United Kingdom,United Kingdom,20,1918,Early Electronic Computing,"[""hardware""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""Royal College of Science"", ""year"": null}, {""degree"": null, ""field"": null, ""institution"": ""Simon Langton Grammar School for Boys"", ""year"": null}]",[],[],[],[],[],[],51.2802,1.0789,https://pioneersincs.blob.core.windows.net/pioneers-images/frank_wilfred_jordan.webp
Alonzo Church,"Alonzo Church was an American computer scientist, mathematician, logician, and philosopher who made major contributions","Alonzo Church (1903-1995) was an influential American mathematician and logician. His work in mathematical logic, particularly lambda calculus, laid the foundations for computation theory and functional programming. Church's contributions had a profound impact on computer science and the understanding of computability, influencing fields such as philosophy and artificial intelligence.","Alonzo Church was an American computer scientist, mathematician, logician, and philosopher who made major contributions to mathematical logic and the foundations of theoretical computer science. He is best known for the lambda calculus, the Church–Turing thesis, proving the unsolvability of the Entscheidungsproblem, the Frege–Church ontology, and the Church–Rosser theorem. Alongside his doctoral student Alan Turing, Church is considered one of the founders of computer science.","Made fundamental contributions to theoretical computer science, specifically in the development of computability theory in the form of lambda calculus. Independently of Alan Turing, formulated what is now known as the Church-Turing Thesis and proved that first-order logic is undecidable.",1903,1995,"Washington, D.C.",U.S.A,United States,20,1936,Early Electronic Computing,"[""theory of computation"", ""mathematics""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""University of Amsterdam"", ""year"": 1929}, {""degree"": null, ""field"": null, ""institution"": ""Harvard University"", ""year"": 1928}, {""degree"": null, ""field"": null, ""institution"": ""University of Göttingen"", ""year"": 1928}, {""degree"": null, ""field"": null, ""institution"": ""Princeton University"", ""year"": 1927}]",[],"[{""name"": ""Princeton University"", ""role"": null, ""years"": ""1929–1967""}, {""name"": ""University of California, Los Angeles"", ""role"": null, ""years"": ""1967–1990""}]","[{""title"": ""Frege–Church ontology"", ""type"": ""other"", ""year"": null}, {""title"": ""Church–Turing theorem"", ""type"": ""other"", ""year"": null}, {""title"": ""Church–Turing thesis"", ""type"": ""other"", ""year"": null}, {""title"": ""lambda calculus"", ""type"": ""other"", ""year"": null}, {""title"": ""Church–Turing–Deutsch principle"", ""type"": ""other"", ""year"": null}, {""title"": ""Church–Rosser theorem"", ""type"": ""other"", ""year"": null}]",[],"[""Leon Henkin""]",[],38.9072,-77.0369,https://pioneersincs.blob.core.windows.net/pioneers-images/alonzo_church.webp
Alan Turing,"Alan Mathison Turing was an English mathematician, computer scientist, logician, cryptanalyst, philosopher and theoretical biologist","Alan Turing (1912-1954) was a British mathematician, logician, and computer scientist. He is known for his groundbreaking work in theoretical computer science and artificial intelligence. Turing's contributions to the field include the concept of a universal Turing machine and his role in breaking the Enigma code during World War II.","Alan Mathison Turing was an English mathematician, computer scientist, logician, cryptanalyst, philosopher and theoretical biologist. He was highly influential in the development of theoretical computer science, providing a formalisation of the concepts of algorithm and computation with the Turing machine, which can be considered a model of a general-purpose computer. Turing is widely considered to be the father of theoretical computer science.","Made several fundamental contributions to theoretical computer science, including the Turing machine computational model, the conceiving of the stored program concept and the designing of the high-speed ACE design. Independently of Alonzo Church, he formulated the Church-Turing thesis and proved that first-order logic is undecidable. He also explored the philosophical issues concerning artificial intelligence, proposing what is now known as Turing test.",1912,1954,Maida Vale,United Kingdom,United Kingdom,20,1936,Early Electronic Computing,"[""theory of computation"", ""hardware"", ""algorithms"", ""artificial intelligence""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""Hazlehurst Community Primary School"", ""year"": 1926}, {""degree"": null, ""field"": null, ""institution"": ""Princeton University"", ""year"": 1938}, {""degree"": null, ""field"": null, ""institution"": ""King's College"", ""year"": 1934}, {""degree"": null, ""field"": null, ""institution"": ""Sherborne School"", ""year"": 1931}]","[{""name"": ""Officer of the Order of the British Empire"", ""year"": 1946}, {""name"": ""Order of the British Empire"", ""year"": null}, {""name"": ""Smith's Prize"", ""year"": 1936}, {""name"": ""Fellow of the Royal Society"", ""year"": 1951}]","[{""name"": ""Victoria University of Manchester"", ""role"": null, ""years"": ""1948–1952""}, {""name"": ""Government Communications Headquarters"", ""role"": null, ""years"": ""1938–1945""}, {""name"": ""University of Cambridge"", ""role"": null, ""years"": ""1934–1937""}, {""name"": ""National Physical Laboratory"", ""role"": null, ""years"": ""1945–1947""}]","[{""title"": ""Turing machine"", ""type"": ""other"", ""year"": null}, {""title"": ""Symmetric Turing machine"", ""type"": ""other"", ""year"": null}, {""title"": ""non-deterministic Turing machine"", ""type"": ""other"", ""year"": null}, {""title"": ""probabilistic Turing machine"", ""type"": ""other"", ""year"": null}, {""title"": ""Church–Turing thesis"", ""type"": ""other"", ""year"": null}, {""title"": ""Turing test"", ""type"": ""other"", ""year"": null}, {""title"": ""Turing completeness"", ""type"": ""other"", ""year"": null}, {""title"": ""Turing degree"", ""type"": ""other"", ""year"": null}, {""title"": ""universal Turing machine"", ""type"": ""other"", ""year"": null}, {""title"": ""Intelligent Machinery"", ""type"": ""other"", ""year"": null}, {""title"": ""Bombe"", ""type"": ""other"", ""year"": null}, {""title"": ""halting problem"", ""type"": ""other"", ""year"": null}]","[""Max Newman""]","[""Andrew Hodges"", ""Cicely Popplewell"", ""Saul Kripke"", ""Stephen Wolfram""]","[""After the war, Turing worked at the National Physical Laboratory, where he designed the Automatic Computing Engine, one of the first designs for a stored-program computer."", ""Turing wrote on the chemical basis of morphogenesis and predicted oscillating chemical reactions such as the Belousov–Zhabotinsky reaction, first observed in the 1960s."", ""Despite these accomplishments, he was never fully recognised during his lifetime because much of his work was covered by the Official Secrets Act."", ""His portrait appears on the Bank of England £50 note, first released on 23 June 2021 to coincide with his birthday.""]",51.5299,0.186,https://pioneersincs.blob.core.windows.net/pioneers-images/alan_turing.webp
George R. Stibitz,George Robert Stibitz was an American researcher at Bell Labs who is internationally recognized as,"George R. Stibitz (1904-1995) was an American mathematician and electrical engineer. He played a significant role in the early development of digital computing, creating the Complex Number Calculator and contributing to the Bell Labs Model I computer. Stibitz's work was instrumental in shaping the future of computing technology.",George Robert Stibitz was an American researcher at Bell Labs who is internationally recognized as one of the fathers of the modern digital computer. He was known for his work in the 1930s and 1940s on the realization of Boolean logic digital circuits using electromechanical relays as the switching element.,"Father of modern digital computing and remote job entry. Coined the term ""digital"". Discovered the reflected binary code known as Gray code. Excess-3 code is named after him as well (Stibitz code).",1904,1995,York,U.S.A,United States,20,1937,Early Electronic Computing,"[""hardware"", ""programming languages""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""Union College"", ""year"": 1927}, {""degree"": null, ""field"": null, ""institution"": ""Denison University"", ""year"": null}, {""degree"": ""Doctor of Philosophy"", ""field"": null, ""institution"": ""Cornell University"", ""year"": 1930}]","[{""name"": ""National Inventors Hall of Fame"", ""year"": 1983}, {""name"": ""IEEE Emanuel R. Piore Award"", ""year"": 1977}, {""name"": ""Harry H. Goode Memorial Award"", ""year"": 1965}]","[{""name"": ""National Defense Research Committee"", ""role"": null, ""years"": ""1941–1945""}, {""name"": ""Bell Labs"", ""role"": null, ""years"": ""1930–1941""}, {""name"": ""Geisel School of Medicine"", ""role"": null, ""years"": ""1964–1974""}]",[],[],[],[],39.9626,-76.7277,https://pioneersincs.blob.core.windows.net/pioneers-images/george_r_stibitz.webp
Claude Shannon,"Claude Elwood Shannon was an American polymath who was a mathematician, electrical engineer, computer scientist,","Claude Shannon (1916-2001) was an influential American mathematician and electrical engineer known as the ""father of information theory."" His work in digital circuit design and information theory revolutionized the field and laid the foundations for modern telecommunications, cryptography, and computer science. Shannon's contributions continue to shape technology today.","Claude Elwood Shannon was an American polymath who was a mathematician, electrical engineer, computer scientist, cryptographer, and inventor known as the ""father of information theory"", and the man who laid the foundations of the Information Age.","Widely recognized as the ""father of information theory."" Shannon's groundbreaking work, published in his influential paper ""A Mathematical Theory of Communication,"" established the foundation for modern information theory and laid the groundwork for digital communication and data compression. His concepts of entropy, channel capacity, and coding theory revolutionized the understanding and transmission of information. Shannon's work had a profound impact on various fields, including telecommunications, computer science, cryptography, and beyond.",1916,2001,Petoskey,U.S.A,United States,20,1937,Early Electronic Computing,"[""information theory"", ""cryptography""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""Massachusetts Institute of Technology"", ""year"": 1940}, {""degree"": null, ""field"": null, ""institution"": ""University of Michigan"", ""year"": 1936}, {""degree"": null, ""field"": null, ""institution"": ""Gaylord High School"", ""year"": 1932}]","[{""name"": ""Stuart Ballantine Medal"", ""year"": 1955}, {""name"": ""Josiah Willard Gibbs Lectureship"", ""year"": 1963}, {""name"": ""Marconi Prize"", ""year"": 2000}, {""name"": ""Noble Prize"", ""year"": 1939}, {""name"": ""IEEE Medal of Honor"", ""year"": 1966}, {""name"": ""Kyoto Prize in Basic Sciences"", ""year"": 1985}, {""name"": ""National Medal of Science"", ""year"": 1966}, {""name"": ""Foreign Member of the Royal Society"", ""year"": 1991}, {""name"": ""Harold Pender Award"", ""year"": 1978}, {""name"": ""IEEE Morris N. Liebmann Memorial Award"", ""year"": 1949}, {""name"": ""Edwin Howard Armstrong Achievement Award"", ""year"": 1973}, {""name"": ""Claude E. Shannon Award"", ""year"": 1972}, {""name"": ""Harvey Prize"", ""year"": 1972}, {""name"": ""National Inventors Hall of Fame"", ""year"": 2004}, {""name"": ""John Fritz Medal"", ""year"": 1983}]","[{""name"": ""Massachusetts Institute of Technology"", ""role"": null, ""years"": ""1957–2020""}, {""name"": ""Institute for Advanced Study"", ""role"": null, ""years"": ""1940–1941""}, {""name"": ""Bell Labs"", ""role"": null, ""years"": ""1941–1958""}]","[{""title"": ""Shannon–Hartley theorem"", ""type"": ""other"", ""year"": null}, {""title"": ""Noisy-channel coding theorem"", ""type"": ""other"", ""year"": null}, {""title"": ""Shannon capacity"", ""type"": ""other"", ""year"": null}, {""title"": ""Shannon multigraph"", ""type"": ""other"", ""year"": null}, {""title"": ""Shannon switching game"", ""type"": ""other"", ""year"": null}, {""title"": ""Shannon's source coding theorem"", ""type"": ""other"", ""year"": null}, {""title"": ""Shannon's expansion"", ""type"": ""other"", ""year"": null}, {""title"": ""Nyquist–Shannon sampling theorem"", ""type"": ""other"", ""year"": null}, {""title"": ""information entropy"", ""type"": ""other"", ""year"": null}, {""title"": ""Shannon index"", ""type"": ""other"", ""year"": null}, {""title"": ""Shannon number"", ""type"": ""other"", ""year"": null}, {""title"": ""Whittaker–Shannon interpolation formula"", ""type"": ""other"", ""year"": null}, {""title"": ""Shannon–Weaver model"", ""type"": ""other"", ""year"": null}, {""title"": ""Shannon–Fano–Elias coding"", ""type"": ""other"", ""year"": null}]","[""Ralph Hartley"", ""Vannevar Bush""]","[""Helio Magalhaes de Oliveira"", ""Edward O. Thorp"", ""Leonard Kleinrock""]","[""Shannon was the first to describe the use of Boolean algebra—essential to all digital electronic circuits—and helped found the field of artificial intelligence."", ""He formally introduced the term \""bit\"", and was a co-inventor of both pulse-code modulation and the first wearable computer."", ""His Theseus machine was the first electrical device to learn by trial and error, being one of the first examples of artificial intelligence.""]",45.3733,-84.9553,https://pioneersincs.blob.core.windows.net/pioneers-images/claude_shannon.webp
